"노선번호","역명","board","X좌표","Y좌표","mean"
"8331 : 마천사거리 - 잠실역","오금공원앞","s",127.1330680597,37.4991191503,109.5
"8331 : 마천사거리 - 잠실역","오금공원앞","h",127.1330680597,37.4991191503,77.75
"8331 : 마천사거리 - 잠실역","오금동상아아파트","s",127.1359026997,37.4976115396,193.7
"8331 : 마천사거리 - 잠실역","오금동상아아파트","h",127.1359026997,37.4976115396,134.1
"8331 : 마천사거리 - 잠실역","오금동현대아파트","s",127.1264247648,37.5032870682,265.15
"8331 : 마천사거리 - 잠실역","오금동현대아파트","h",127.1264247648,37.5032870682,456.7
"8331 : 마천사거리 - 잠실역","잠실역8번출구","s",127.1015208896,37.513797668,2.8
"8331 : 마천사거리 - 잠실역","잠실역8번출구","h",127.1015208896,37.513797668,1442.65
"8331 : 마천사거리 - 잠실역","한양 삼익아파트","s",127.1215578743,37.5058518734,466.05
"8331 : 마천사거리 - 잠실역","한양 삼익아파트","h",127.1215578743,37.5058518734,62.1
"8441 : 은곡마을 - 수서역","강남현대힐스테이트에코","s",127.1048921671,37.4751931729,612.05
"8441 : 은곡마을 - 수서역","강남현대힐스테이트에코","h",127.1048921671,37.4751931729,29.6
"8441 : 은곡마을 - 수서역","래미안강남힐즈","s",127.0972042234,37.4730912138,202.6
"8441 : 은곡마을 - 수서역","래미안강남힐즈","h",127.0972042234,37.4730912138,12.85
"8441 : 은곡마을 - 수서역","못골마을","s",127.1018075621,37.4739650457,421.7
"8441 : 은곡마을 - 수서역","못골마을","h",127.1018075621,37.4739650457,21.95
"8441 : 은곡마을 - 수서역","세곡중학교.세명초등학교","s",127.0923510331,37.4703320897,796.1
"8441 : 은곡마을 - 수서역","세곡중학교.세명초등학교","h",127.0923510331,37.4703320897,23.5
"8441 : 은곡마을 - 수서역","세곡푸르지오","s",127.0937662488,37.4678502431,243.35
"8441 : 은곡마을 - 수서역","세곡푸르지오","h",127.0937662488,37.4678502431,7.7
"8441 : 은곡마을 - 수서역","수서역5번.출구","s",127.1019875648,37.48699564,3.35
"8441 : 은곡마을 - 수서역","수서역5번.출구","h",127.1019875648,37.48699564,2074.35
"8441 : 은곡마을 - 수서역","은곡마을.LH이편한세상","s",127.1018397862,37.465376593,43.65
"8441 : 은곡마을 - 수서역","은곡마을.LH이편한세상","h",127.1018397862,37.465376593,3.05
"8441 : 은곡마을 - 수서역","은곡마을진입로","s",127.0985636531,37.4656553361,2.75
"8441 : 은곡마을 - 수서역","은곡마을진입로","h",127.0985636531,37.4656553361,0.8
"8441 : 은곡마을 - 수서역","쟁골마을","s",127.1049596629,37.4819887865,5.85
"8441 : 은곡마을 - 수서역","쟁골마을","h",127.1049596629,37.4819887865,217
"8551 : 봉천역 - 노량진역","7호선장승배기역.상도2치안센터","s",126.9391795074,37.5041803507,207.35
"8551 : 봉천역 - 노량진역","7호선장승배기역.상도2치안센터","s",126.9392595922,37.5043369383,218.65
"8551 : 봉천역 - 노량진역","7호선장승배기역.상도2치안센터","h",126.9391795074,37.5041803507,66.25
"8551 : 봉천역 - 노량진역","7호선장승배기역.상도2치안센터","h",126.9392595922,37.5043369383,448
"8551 : 봉천역 - 노량진역","경향렉스빌.롯데캐슬","s",126.9427357237,37.4959852712,329.95
"8551 : 봉천역 - 노량진역","경향렉스빌.롯데캐슬","s",126.9428787265,37.4959338294,448.8
"8551 : 봉천역 - 노량진역","경향렉스빌.롯데캐슬","h",126.9427357237,37.4959852712,42.05
"8551 : 봉천역 - 노량진역","경향렉스빌.롯데캐슬","h",126.9428787265,37.4959338294,31.2
